CONTENT_TITLE	RATING	CONTENT_TYPE	RELEASE_YEAR	CID	PARENT_CID	STUDIO_NAME	POSTER_URL	SYNOPSIS
"Apocalypse, This! or ""For the Pity of Fools"""	TV-MA	EPISODE		urn:dece:cid:eidr-s:ED7D-D91E-4F43-3150-4623-1	urn:dece:cid:eidr-s:C425-B4A5-1609-DDC8-DD32-1	Warner Bros. Entertainment	http://dtmmt9rxsy2no.cloudfront.net/images/onesheets/apocalypse-this-or-for-the-pity-of-fools/en_US_large-320.jpg	"Back in Vietnam, Black Dynamite's ""brother from another mother,"" LAWRENCE TUREAUD (Aries Spears) was a force to be reckoned with."
"Bullhorn Nights or "" Murder She Throats"""		EPISODE		urn:dece:cid:eidr-s:2DDE-14A1-5643-2FDA-C525-D	urn:dece:cid:eidr-s:C425-B4A5-1609-DDC8-DD32-1	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/FDC52115BED2770EE0405A0A143424FB	
"Elvis Was A Hero To Most or ""Weekend at Presley's"""	TV-MA	EPISODE		urn:dece:cid:eidr-s:2EE2-F2DA-7535-2F10-BC9E-G	urn:dece:cid:eidr-s:C425-B4A5-1609-DDC8-DD32-1	Warner Bros. Entertainment	http://dtmmt9rxsy2no.cloudfront.net/images/onesheets/elvis-was-a-hero-to-most-or-weekend-at-presley-s/en_US_large-320.jpg	"When the President's plan to destroy the Black community with illegal drugs backfires, Tricky Dick unleashes his latest weapon."
"Honky Kong or ""White Apes Can't Hump"""	TV-MA	EPISODE		urn:dece:cid:eidr-s:6F7B-C475-540E-77F4-32AF-N	urn:dece:cid:eidr-s:C425-B4A5-1609-DDC8-DD32-1	Warner Bros. Entertainment	http://dtmmt9rxsy2no.cloudfront.net/images/onesheets/honky-kong-or-white-apes-can-t-hump/en_US_large-320.jpg	"If Calgon can't take Honey Bee away, a giant albino gorilla can! The grind of running the Whorephanage has finally taken its toll on Honey Bee."
"Jackson Five Across Yo' Eyes or ""Just Beat It"""	TV-MA	EPISODE		urn:dece:cid:eidr-s:F66F-F122-DE8E-A923-DBBE-B	urn:dece:cid:eidr-s:C425-B4A5-1609-DDC8-DD32-1	Warner Bros. Entertainment	https://d19p213wjrwt85.cloudfront.net/uvvu-images/FDC5442342F12204E0405A0A16340CA6	"When Cream Corn saves young Michael Jackson from an assassination attempt, the pint-sized pop star finds in Corn a new best friend. But as Black Dynamite soon discovers, Jacko is far from the cute bundle of talent the world adores: he's a merciless alien force who leaves his brothers and father Joe in constant fear of a bitch slapping!"
"Panic on the Player's Ball Express or ""That's Influenza!"""	TV-MA	EPISODE		urn:dece:cid:eidr-s:6568-22F1-00D5-6196-FF71-K	urn:dece:cid:eidr-s:C425-B4A5-1609-DDC8-DD32-1	Warner Bros. Entertainment	http://dtmmt9rxsy2no.cloudfront.net/images/onesheets/panic-on-the-player-s-ball-express-or-that-s-influenza/en_US_large-320.jpg	Every year the Player's Ball-the annual international gala gathering of Pimps-tries to top the previous years' festivities.
Seed of Kurtis	TV-MA	EPISODE		urn:dece:cid:eidr-s:2F51-52F9-9CA9-E2E4-A7EF-8	urn:dece:cid:eidr-s:C425-B4A5-1609-DDC8-DD32-1	Warner Bros. Entertainment	http://dtmmt9rxsy2no.cloudfront.net/images/onesheets/seed-of-kurtis/en_US_large-320.jpg	The Reverend DADDY DYNAMITE (Clifton Powell) left Black Dynamite when he was just a little 8-year old children.
"Taxes and Death or ""Get Him to the Sunset Strip!"""	TV-MA	EPISODE		urn:dece:cid:eidr-s:B595-E2D6-841D-0364-F5B9-D	urn:dece:cid:eidr-s:C425-B4A5-1609-DDC8-DD32-1	Warner Bros. Entertainment	http://dtmmt9rxsy2no.cloudfront.net/images/onesheets/taxes-and-death-or-get-him-to-the-sunset-strip/en_US_large-320.jpg	"With the IRS on his case for a reported $60K and tax day fast approaching, Black Dynamite and crew experience one of their most challenging missions to date when they are hired to escort drug-addled and emotionally unstable cultural icon Richard Pryor (Eddie Griffin) to the comedy performance of his career."
The Dark Side of the Dark Side of the Moon	TV-MA	EPISODE		urn:dece:cid:eidr-s:CA94-1877-6B72-B970-684A-0	urn:dece:cid:eidr-s:C425-B4A5-1609-DDC8-DD32-1	Warner Bros. Entertainment	http://dtmmt9rxsy2no.cloudfront.net/images/onesheets/the-dark-side-of-the-dark-side-of-the-moon/en_US_large-320.jpg	"It's Christmastime at The Whorephanage, and while Black Dynamite loves the holidays, he's distracted by a problem: what can he get the orphans for Christmas?"
"The Race War or ""Big Black Cannon, Balls Run!"""	TV-MA	EPISODE		urn:dece:cid:eidr-s:8BAA-A189-F78A-E71F-87F5-W	urn:dece:cid:eidr-s:C425-B4A5-1609-DDC8-DD32-1	Warner Bros. Entertainment	http://dtmmt9rxsy2no.cloudfront.net/images/onesheets/the-race-war-or-big-black-cannon-balls-run/en_US_large-320.jpg	"Black Dynamite's non-white arch nemesis, Fiendish Dr. Wu. has stolen an experimental supply of Menthol X and sold it to the Notorious Big Tobacco Company!"
