CID	TALENT_NAME	ROLE
3065a878-a965-4c5c-9080-90fe4f3bdd99	Jasika Nicole	ACTOR
3065a878-a965-4c5c-9080-90fe4f3bdd99	Lance Reddick	ACTOR
3065a878-a965-4c5c-9080-90fe4f3bdd99	Akiva Goldsman	PRODUCER
3065a878-a965-4c5c-9080-90fe4f3bdd99	Bryan Burk	PRODUCER
3065a878-a965-4c5c-9080-90fe4f3bdd99	J.J. Abrams	PRODUCER
3065a878-a965-4c5c-9080-90fe4f3bdd99	John Noble	ACTOR
3065a878-a965-4c5c-9080-90fe4f3bdd99	Blair Brown	ACTOR
3065a878-a965-4c5c-9080-90fe4f3bdd99	Jeff Pinkner	PRODUCER
3065a878-a965-4c5c-9080-90fe4f3bdd99	Joshua Jackson	ACTOR
3065a878-a965-4c5c-9080-90fe4f3bdd99	J.H. Wyman	PRODUCER
3065a878-a965-4c5c-9080-90fe4f3bdd99	Anna Torv	ACTOR
3065a878-a965-4c5c-9080-90fe4f3bdd99	Joe Chappelle	PRODUCER
3065a878-a965-4c5c-9080-90fe4f3bdd99	Seth Gabel	ACTOR
58bd59b2-231a-4c51-83ec-e86e6869fe70	Marcos Siega	PRODUCER
58bd59b2-231a-4c51-83ec-e86e6869fe70	Shawn Ashmore	ACTOR
58bd59b2-231a-4c51-83ec-e86e6869fe70	Kevin Bacon	ACTOR
58bd59b2-231a-4c51-83ec-e86e6869fe70	James Purefoy	ACTOR
58bd59b2-231a-4c51-83ec-e86e6869fe70	Kevin Williamson	PRODUCER
58bd59b2-231a-4c51-83ec-e86e6869fe70	Natalie Zea	ACTOR
58bd59b2-231a-4c51-83ec-e86e6869fe70	Jeananne Goossen	ACTOR
743c92fc-fa06-4813-8891-92fbde37f866	Sasha Alexander	ACTOR
743c92fc-fa06-4813-8891-92fbde37f866	Bill Haber	PRODUCER
743c92fc-fa06-4813-8891-92fbde37f866	Bruce McGill	ACTOR
743c92fc-fa06-4813-8891-92fbde37f866	Joel Fields	PRODUCER
743c92fc-fa06-4813-8891-92fbde37f866	Janet Tamaro	PRODUCER
743c92fc-fa06-4813-8891-92fbde37f866	Lorraine Bracco	ACTOR
743c92fc-fa06-4813-8891-92fbde37f866	Angie Harmon	ACTOR
743c92fc-fa06-4813-8891-92fbde37f866	Lee Thompson Young	ACTOR
743c92fc-fa06-4813-8891-92fbde37f866	Jordan Bridges	ACTOR
b57e9d7e-5ad4-412d-840c-7bc18b82d924	Xander Berkeley	ACTOR
b57e9d7e-5ad4-412d-840c-7bc18b82d924	Karen Gaviola	DIRECTOR
b57e9d7e-5ad4-412d-840c-7bc18b82d924	McG	PRODUCER
b57e9d7e-5ad4-412d-840c-7bc18b82d924	Lyndsy Fonseca	ACTOR
b57e9d7e-5ad4-412d-840c-7bc18b82d924	Peter Johnson	PRODUCER
b57e9d7e-5ad4-412d-840c-7bc18b82d924	Melinda Clarke	ACTOR
b57e9d7e-5ad4-412d-840c-7bc18b82d924	Aaron Stanford	ACTOR
b57e9d7e-5ad4-412d-840c-7bc18b82d924	Andrew Colville	ARTISTS
b57e9d7e-5ad4-412d-840c-7bc18b82d924	Andrew Colville	WRITER
b57e9d7e-5ad4-412d-840c-7bc18b82d924	David Levinson	PRODUCER
b57e9d7e-5ad4-412d-840c-7bc18b82d924	Danny Cannon	PRODUCER
b57e9d7e-5ad4-412d-840c-7bc18b82d924	Maggie Q	ACTOR
b57e9d7e-5ad4-412d-840c-7bc18b82d924	Craig Silverstein	PRODUCER
b57e9d7e-5ad4-412d-840c-7bc18b82d924	Shane West	ACTOR
b57e9d7e-5ad4-412d-840c-7bc18b82d924	Maggie	ACTOR
c0bc7399-73d5-4ff9-befc-ac27abcdc997	Lyndsy Fonseca	ACTOR
c0bc7399-73d5-4ff9-befc-ac27abcdc997	Noah Bean	ACTOR
c0bc7399-73d5-4ff9-befc-ac27abcdc997	Maggie Q	ACTOR
c0bc7399-73d5-4ff9-befc-ac27abcdc997	David Levinson	PRODUCER
c0bc7399-73d5-4ff9-befc-ac27abcdc997	Dillon Casey	ACTOR
c0bc7399-73d5-4ff9-befc-ac27abcdc997	Xander Berkeley	ACTOR
c0bc7399-73d5-4ff9-befc-ac27abcdc997	Melinda Clarke	ACTOR
c0bc7399-73d5-4ff9-befc-ac27abcdc997	Aaron Stanford	ACTOR
c0bc7399-73d5-4ff9-befc-ac27abcdc997	Craig Silverstein	PRODUCER
c0bc7399-73d5-4ff9-befc-ac27abcdc997	Shane West	ACTOR
f940b350-2410-4a21-a466-7056cb245793	Jeff Pinkner	PRODUCER
f940b350-2410-4a21-a466-7056cb245793	J.J. Abrams	PRODUCER
f940b350-2410-4a21-a466-7056cb245793	Blair Brown	ACTOR
f940b350-2410-4a21-a466-7056cb245793	John Noble	ACTOR
f940b350-2410-4a21-a466-7056cb245793	Joshua Jackson	ACTOR
f940b350-2410-4a21-a466-7056cb245793	Seth Gabel	ACTOR
f940b350-2410-4a21-a466-7056cb245793	J.H. Wyman	PRODUCER
f940b350-2410-4a21-a466-7056cb245793	Jasika Nicole	ACTOR
f940b350-2410-4a21-a466-7056cb245793	Bryan Burk	PRODUCER
f940b350-2410-4a21-a466-7056cb245793	Lance Reddick	ACTOR
f940b350-2410-4a21-a466-7056cb245793	Joe Chappelle	PRODUCER
f940b350-2410-4a21-a466-7056cb245793	Anna Torv	ACTOR
urn:dece:cid:eidr-s:0025-44D7-EBBC-8202-1609-Y	NA	Writer
urn:dece:cid:eidr-s:0025-44D7-EBBC-8202-1609-Y	NA	Director
urn:dece:cid:eidr-s:0025-44D7-EBBC-8202-1609-Y	NA	Producer
urn:dece:cid:eidr-s:0025-44D7-EBBC-8202-1609-Y	NA	Actor
urn:dece:cid:eidr-s:0029-00A2-8087-2C4C-39C3-3	Kaley Cuoco	ACTOR
urn:dece:cid:eidr-s:0029-00A2-8087-2C4C-39C3-3	Simon Helberg	ACTOR
urn:dece:cid:eidr-s:0029-00A2-8087-2C4C-39C3-3	Kunal Nayyar	ACTOR
urn:dece:cid:eidr-s:0029-00A2-8087-2C4C-39C3-3	Mayim Bialik	ACTOR
urn:dece:cid:eidr-s:0029-00A2-8087-2C4C-39C3-3	Melissa Rauch	ACTOR
urn:dece:cid:eidr-s:0029-00A2-8087-2C4C-39C3-3	Chuck Lorre	PRODUCER
urn:dece:cid:eidr-s:0029-00A2-8087-2C4C-39C3-3	Jim Parsons	ACTOR
urn:dece:cid:eidr-s:0029-00A2-8087-2C4C-39C3-3	Steven Molaro	PRODUCER
urn:dece:cid:eidr-s:0029-00A2-8087-2C4C-39C3-3	Bill Prady	PRODUCER
